"carat","cut","color","clarity","depth","table","price","x","y","z"
1.02,"Good","F","SI2",63.8,53,4238,6.46,6.37,4.09
0.32,"Premium","E","VVS1",60.5,58,1020,4.47,4.42,2.69
0.5,"Ideal","F","VVS2",59.9,58,2016,5.14,5.17,3.09
0.32,"Ideal","G","IF",62.3,54,883,4.39,4.4,2.74
1.33,"Ideal","H","VS2",59.5,57,8385,7.18,7.23,4.29
0.31,"Ideal","D","SI2",62.9,54,593,4.35,4.3,2.72
0.3,"Premium","G","SI1",61.6,59,574,4.28,4.26,2.63
1.04,"Premium","I","SI1",61.8,60,4368,6.51,6.47,4.01
0.33,"Ideal","E","VS2",61.1,55,738,4.47,4.51,2.74
1.22,"Ideal","H","VVS2",62.2,56,8014,6.83,6.87,4.26
0.54,"Premium","H","VS2",61.9,55,1389,5.25,5.22,3.24
0.36,"Ideal","E","VS2",61,54,747,4.6,4.64,2.82
0.32,"Ideal","G","VS1",61.9,55,828,4.43,4.39,2.73
0.5,"Ideal","D","VS2",62.6,56,1845,5.08,5.05,3.17
0.31,"Ideal","D","VS2",62.1,54,942,4.36,4.34,2.7
0.9,"Ideal","E","SI2",62,55,3599,6.23,6.15,3.84
0.9,"Good","H","SI2",63.5,58,2889,6.09,6.14,3.88
0.41,"Ideal","G","SI1",61.2,56,788,4.8,4.84,2.95
0.33,"Very Good","G","VS1",62.9,57,666,4.38,4.43,2.77
1.01,"Premium","E","SI2",62.5,60,4355,6.39,6.42,4
0.51,"Ideal","D","VS2",61.9,57,1882,5.13,5.11,3.17
0.96,"Premium","E","SI2",60.4,56,2961,6.32,6.23,3.79
2.29,"Premium","J","IF",61.4,60,18594,8.49,8.45,5.2
0.32,"Ideal","E","SI2",62,55,576,4.41,4.36,2.72
0.32,"Premium","G","VS2",62.6,59,561,4.33,4.36,2.72
0.71,"Fair","J","VS2",64.4,56,1826,5.64,5.6,3.62
1.24,"Ideal","H","VS1",61.6,56,8299,6.88,6.91,4.25
0.58,"Premium","E","VS1",60.7,58,2105,5.41,5.36,3.27
0.31,"Ideal","I","VVS1",62.1,56,732,4.38,4.35,2.71
1.51,"Fair","F","SI2",65.4,56,5919,7.2,7.08,4.67
0.4,"Premium","F","VS1",60.3,60,982,4.77,4.81,2.89
0.41,"Premium","G","VS1",62.6,58,961,4.75,4.7,2.96
1,"Premium","G","VS1",62.4,59,6727,6.4,6.35,3.98
1.13,"Very Good","D","VS2",62.9,58,8561,6.59,6.63,4.16
1.52,"Very Good","D","SI2",61.2,63,8868,7.31,7.39,4.5
1.01,"Ideal","G","VS2",63,57,6027,6.42,6.35,4.02
1.07,"Very Good","H","SI2",62.1,58,4716,6.53,6.57,4.07
0.64,"Premium","E","SI1",61.2,62,1682,5.56,5.52,3.39
1.53,"Ideal","I","SI2",62.4,58,7678,7.31,7.37,4.58
0.42,"Ideal","G","VVS2",62,56,798,4.79,4.83,2.98
2.12,"Premium","H","SI2",61.5,59,13460,8.26,8.21,5.06
0.81,"Ideal","F","SI2",58.8,57,2761,6.14,6.11,3.6
0.77,"Ideal","D","SI1",62.5,56,3345,5.86,5.91,3.68
0.26,"Very Good","I","VVS2",62.7,55,427,4.09,4.12,2.57
0.45,"Ideal","G","VVS2",61.2,56,1213,4.96,4.91,3.02
1.67,"Premium","H","SI1",59.4,61,11248,7.78,7.73,4.61
0.3,"Good","D","VVS1",63.3,61,825,4.21,4.23,2.67
1.01,"Good","G","VS2",58.9,61,5756,6.46,6.55,3.83
0.78,"Ideal","D","VS2",61.9,56,3811,5.89,5.91,3.65
0.35,"Ideal","G","SI1",61.8,55,503,4.54,4.56,2.81
0.2,"Premium","E","VS2",59.8,62,367,3.79,3.77,2.26
0.71,"Ideal","F","VS1",62,57,3066,5.7,5.75,3.55
0.71,"Fair","G","SI1",65.5,55,2300,5.59,5.56,3.65
