"carat","cut","color","clarity","depth","table","price","x","y","z"
0.7,"Ideal","G","VS2",61.9,56,3253,5.68,5.7,3.52
0.71,"Premium","D","VVS1",58.8,58,3952,5.89,5.81,3.44
0.34,"Premium","G","SI1",59.7,59,650,4.54,4.5,2.7
0.5,"Premium","G","VS1",60.9,58,1746,5.23,5.09,3.14
0.3,"Very Good","E","VVS1",60.5,57,862,4.37,4.39,2.65
0.78,"Premium","J","SI2",60.6,58,2022,5.94,5.91,3.59
0.52,"Premium","E","VS2",61.6,59,1576,5.14,5.16,3.17
0.52,"Ideal","D","VS2",60.3,56,1677,5.24,5.27,3.17
0.7,"Very Good","J","SI2",63.6,56,1609,5.57,5.63,3.56
0.62,"Premium","D","SI2",62,59,1777,5.48,5.45,3.39
0.62,"Ideal","E","SI1",60.7,56,2156,5.54,5.57,3.37
0.26,"Ideal","G","SI1",62,54,394,4.08,4.11,2.54
0.53,"Very Good","E","SI2",63,57,1174,5.13,5.16,3.24
1.11,"Premium","E","VS1",61.2,58,8329,6.69,6.65,4.08
0.5,"Very Good","G","VS2",60.3,58,1354,5.15,5.19,3.12
1.01,"Good","H","VS2",59.6,64,4909,6.53,6.45,3.87
0.91,"Very Good","H","VS2",63.5,57,4012,6.12,6.16,3.9
1.24,"Premium","F","VS2",62.4,60,9513,6.83,6.8,4.25
1.05,"Ideal","G","VVS2",62.5,55,8645,6.49,6.53,4.07
1.55,"Premium","D","VS1",59.7,60,17773,7.62,7.56,4.53
0.72,"Very Good","E","VS1",63.1,56,3048,5.7,5.65,3.58
0.38,"Ideal","E","VS2",61.7,55,1112,4.68,4.66,2.88
1.28,"Very Good","G","VVS1",60.3,59,11214,6.99,7.03,4.23
0.3,"Premium","H","VVS2",60.8,60,776,4.33,4.29,2.62
0.52,"Ideal","D","VS2",61.5,56,1919,5.19,5.15,3.18
1.01,"Ideal","E","VS2",61.4,57,6956,6.44,6.5,3.97
0.5,"Ideal","F","VS1",62.5,57,1838,5.09,5.06,3.17
0.78,"Very Good","I","VVS2",61.4,56,2816,5.91,5.95,3.64
0.32,"Premium","I","IF",60.3,58,673,4.41,4.45,2.67
0.71,"Ideal","F","SI1",62.5,55,2788,5.71,5.65,3.55
1.15,"Very Good","J","SI2",63.6,57,4021,6.6,6.64,4.21
0.76,"Ideal","E","VS1",62.1,57,2947,5.82,5.87,3.63
1,"Good","D","SI2",62.8,61,4520,6.31,6.36,3.98
0.35,"Ideal","F","VS2",61.5,57,906,4.56,4.52,2.79
0.5,"Premium","G","VS2",59.4,60,1354,5.14,5.16,3.06
0.63,"Very Good","F","VS1",59.2,57,2149,5.56,5.66,3.32
0.5,"Good","D","SI2",63.7,60,925,5.09,5.02,3.22
0.41,"Ideal","D","VVS1",61.7,55,1376,4.77,4.8,2.95
0.33,"Ideal","H","VVS1",62.1,53,730,4.47,4.51,2.79
0.51,"Good","E","SI1",63.5,54,1343,5.07,5.1,3.23
0.3,"Good","I","VS1",63.5,57,473,4.24,4.29,2.71
0.4,"Good","H","VS2",59.4,64,730,4.75,4.82,2.84
0.71,"Premium","G","SI1",60.4,59,2352,5.81,5.75,3.49
0.27,"Ideal","G","VS2",61.5,56,490,4.16,4.18,2.56
0.26,"Ideal","E","VVS1",61.7,57,769,4.1,4.07,2.52
0.43,"Very Good","E","SI1",62.9,56,792,4.8,4.83,3.03
0.7,"Good","F","SI1",63.7,58,2242,5.62,5.65,3.59
1.5,"Ideal","G","SI2",61.4,56,8736,7.38,7.34,4.52
0.43,"Premium","D","SI1",61,58,774,4.83,4.88,2.96
2.05,"Premium","J","VS1",60.1,58,14411,8.19,8.25,4.94
0.32,"Ideal","G","SI1",63,56,612,4.38,4.35,2.75
1,"Good","F","SI2",63.4,60,3801,6.28,6.33,4
0.34,"Ideal","H","VVS2",61.1,56,852,4.52,4.55,2.77
0.35,"Premium","F","VS2",61.8,58,906,4.52,4.48,2.78
0.52,"Premium","D","SI1",58.7,58,1720,5.32,5.28,3.11
0.34,"Ideal","E","VS1",62.4,54,827,4.45,4.49,2.79
0.33,"Ideal","G","VVS2",61.7,55,752,4.42,4.46,2.74
0.52,"Very Good","D","VS2",62.8,58,1749,5.11,5.14,3.22
0.7,"Ideal","G","VVS1",60.7,57,3303,5.73,5.76,3.49
1.35,"Very Good","I","VS2",62.1,62,6961,6.97,7.05,4.35
1.3,"Premium","G","VS2",62.2,58,8854,6.92,6.98,4.32
0.54,"Ideal","G","VVS1",62.2,53.9,2007,5.22,5.25,3.26
0.3,"Ideal","H","VVS1",62.5,53.8,639,4.31,4.33,2.69
0.54,"Ideal","G","VVS2",62.1,56,2090,5.22,5.19,3.23
1.5,"Very Good","I","SI2",63.2,52,6115,7.28,7.24,4.59
1.01,"Good","G","SI1",63.9,57,4588,6.3,6.37,4.05
0.32,"Ideal","F","VVS1",61.5,56,867,4.41,4.43,2.72
0.33,"Premium","G","VS2",59.4,61,743,4.53,4.49,2.68
0.4,"Very Good","G","VS2",61.9,59,772,4.67,4.7,2.9
0.75,"Premium","F","SI2",60.9,58,2274,5.88,5.91,3.59
1.6,"Premium","G","SI1",62.4,61,11189,7.43,7.4,4.63
1.72,"Very Good","I","SI2",63.4,57,8630,7.6,7.58,4.81
0.86,"Good","G","SI2",63.2,53,2647,6.06,6.1,3.84
0.72,"Ideal","I","VVS1",61.4,57,2642,5.77,5.8,3.55
1.21,"Premium","F","SI2",59,60,5982,6.94,6.99,4.11
0.65,"Good","G","SI1",59.6,60.3,1828,5.64,5.71,3.38
0.73,"Ideal","G","SI1",61.7,60,2377,5.77,5.8,3.57
1.09,"Very Good","I","SI1",63.2,59,4639,6.54,6.5,4.12
1.01,"Premium","E","VS2",58,61,7240,6.53,6.5,3.94
